channel_id,title,description,subs,video_count,view_count,uploads_playlist,avg_recent_views,engagement_rate,score
UCtiIJqX2kZZrsq6_In525PA,Tagger by Sprout Social,"This profile is no longer active. Follow along on the journey at @SproutSocial across all channels.

Delivering faster business impact with influencer marketing has never been simpler. While we won’t be posting here any longer, we’re excited to bring you the power of influencer strategies combined with our knowledge of social marketing.
",484,10,10553,UUtiIJqX2kZZrsq6_In525PA,1055.4,0.0264,0.929
UCdbKdqFMhLyYQyskdKceWCA,Streamers Connected | Influencer Marketing Agency,We are an Influencer Marketing & Talent Management Agency. We empower brands by connecting them with the world's most influential content creators.,1180,22,3845,UUdbKdqFMhLyYQyskdKceWCA,195.0,0.0246,0.914
UCqYsUYWqMgIkm1q4rnsbuuw,Spark Influencer Marketing,"Olá, somos a Spark, empresa especialista em marketing de influência. #WeCreateSpark 🦉 Vencedora do Prêmio Caboré 2021

Ativamos marcas por meio das redes sociais de influenciadores, que vão desde grandes personalidades até micro influenciadores, sendo responsáveis por todo o processo, desde o planejamento, criação de conteúdo, contratação, execução, até assessorias jurídica e financeira. 

Nossa filosofia é HIGH TECH - HIGH TOUCH e contamos com uma plataforma proprietária de influencer marketing, que garante eficiência na escolha dos perfis e na implementação de campanhas, além de mensuração e análise de resultados em real time.

Entre nossos produtos de representação exclusiva, apresentamos a Tagger Media, plataforma que ajuda marcas e agências a construir e gerenciar campanhas de marketing de influência, desde estratégia até sua execução, garantindo assertividade e otimização de ROI.
",789,51,166444,UUqYsUYWqMgIkm1q4rnsbuuw,551.7,0.0299,0.914
UCoWTBpUSJXtIz4Rzjz0QfZg,The Influencer Marketing Factory,"The Influencer Marketing Factory is dedicated to helping businesses and organizations reach a broader audience that will be more responsive to the message they see from the influencers they follow on social media. Their goal is to raise awareness, recognition, and reputation for the companies, organizations, and special causes they support.

We are an Influencer Marketing Agency that focuses on TikTok, Instagram, YouTube and Twitch.",48,8,5241,UUoWTBpUSJXtIz4Rzjz0QfZg,655.12,0.0601,0.887
UCrGcRl7Piqf4VMTi03JQCyA,HypeAuditor,"HypeAuditor is a leading analytics platform for influencer marketing supported by artificial intelligence technologies. Leveraging large amounts of social data, HypeAuditor helps brands and agencies discover and analyze influencers on Instagram, YouTube, and TikTok and make data-driven decisions based on actionable insights.

The total number of profiles in its database now exceeds 20 million, which makes it the largest influencer database available on the market. Multiple powerful features allow brands to analyze the market, research competitors and track the results of their influencer marketing campaigns.

Here are some of HypeAuditor features:
- 20M+ influencer discovery database (Instagram, TikTok, and YouTube)
- Best in class Fraud Detection
- 35+ metrics for in-depth influencer analysis, including past sponsored posts performance
- Intelligent influencer Campaign tracking
- Competitor Analysis and Comparison.
",881,88,27967,UUrGcRl7Piqf4VMTi03JQCyA,434.3,0.0262,0.877
UCFqI5P_4IqHGf9aijJrbkOw,Partipost Philippines,"Welcome to the official channel of Partipost Philippines, a subsidiary of Partipost Singapore. Our mobile app is also available across South East Asia.

The Partipost app is an influencer marketing platform that allows regular people to connect to brands and promote their products and services on their personal social channels.  

Available on both the Google Playstore and Apple App Store. 
",240,9,14556,UUFqI5P_4IqHGf9aijJrbkOw,1617.33,0.0095,0.862
UC2F20NwNkeQmKQJOWXw88fw,Influencer Marketing 2024,Try Modash for free at modash.io,1050,459,966233,UU2F20NwNkeQmKQJOWXw88fw,436.3,0.0138,0.837
UCeu-NZiRs0FauSfFYKvNp9g,Influish | Influencer Marketing,,794,163,396088,UUeu-NZiRs0FauSfFYKvNp9g,602.5,0.0144,0.782
UClNWWxsCQXANwUEnWjugR0Q,Influencer marketing ,Become a social media influencer with just a video ,0,6,14,UUlNWWxsCQXANwUEnWjugR0Q,2.33,0.0714,0.715
UCz77fj11DxEsIuoX-nO1Swg,Oregano Engage,"One stop solution for Brands, Agencies and Influencers to amplify the outreach and uplift the sales like never before.

Reach a larger, targeted and engaging audience with Oregano Social, your spicy Influencer Marketing Platform.

Platforms: Instagram | Facebook | Youtube | LinkedIn | Twitter
",53,37,23874,UUz77fj11DxEsIuoX-nO1Swg,1126.8,0.0182,0.659
UC4qMIHzG6uPgwuweOUB8iqw,Influencer Marketing 365 -Marketing de Influencers,"🙌  INFLUENCER MARKETING 365

Aquí tienes todo lo que necesitas saber sobre el marketing de Influencers. 
Nuestro propósito es defender y divulgar las buenas praxis y profesionalidad de la industria del Influencer marketing a través de sus protagonistas, es decir todos aquellos que intervienen en la cadena de valor de las colaboraciones que realizan las Marcas con los Creadores de Contenido. ( Influencers )

Alrededor de la figura de los influencers existen diferentes empresas o perfiles  que aportan valor  y que forman parte como agentes de una nueva industria que evoluciona a pasos agigantados.Agencias especializadas de Marketing de Influencers, de representación,de Marketing,  Marketplaces, Plataformas y otros SAAS, hacen posible que el proceso de profesionalización sea una realidad y en continua mejora.

Suscríbete y no dejes de visitar nuestro portal web. 👇

www.influencermarketing365.com
",196,108,8526,UU4qMIHzG6uPgwuweOUB8iqw,21.8,0.055,0.657
UCt-YQz6XmV-IMBcql7razNA,AdAUC,"AdAUC by CreatorLink:

The Influencer Marketing Auctionplace⁣

Early Access List Sign-Up Now Live⁣
",7,26,1882,UUt-YQz6XmV-IMBcql7razNA,77.9,0.0616,0.651
UCbkigL8YUdUdQzC-AKElhrA,LeaLi - Influencer Marketing Platform,"Welcome to LeaLi.io's official YouTube channel, your ultimate destination for influencer marketing insights! 🌟

🚀 Dive into the world of effective creator collaborations, influencer marketing strategies, and impactful brand partnerships. 💼🌐

🔥 Subscribe for up-to-date trends, expert guidance, and practical tips to boost your brand and influencer engagement. 📈✅

✨ Embark on a journey of growth and innovation with us. Unlock the full potential of authentic influencer partnerships! 🤝🌟

✨ Subscribe here: https://www.youtube.com/@leali_io?sub_confirmation=1 ✨

—————————————
Follow on Social media
—————————————

🌐 - www.LeaLi.io 
📝 - www.leali.io/blog

🔗- Facebook: https://www.facebook.com/itsleali
🔗-Twitter: https://twitter.com/leali_io
🔗- Instagram: https://www.instagram.com/leali_io/
🔗- TikTok - https://www.tiktok.com/@leali_io 
🔗- LinkedIn - https://www.linkedin.com/company/leali/
🔗- Pinterest - https://www.pinterest.co.uk/leali_io/
",53,37,4132,UUbkigL8YUdUdQzC-AKElhrA,62.8,0.0573,0.625
UCnDLsCL3LAOnNrBRVA-zPEw,The Hype Maven,"Start, scale, grow and manage your influencer marketing as a marketer, founder or small business owner, with expert advice and support from my almost 10 years of experience in the field.

If you're tired of vague advice, confusing language and nobody clearly explaining how influencer marketing actually works, where to start, and more importantly HOW to actually do it, stay for a while.

Cheers,
Andreea

",43,11,1130,UUnDLsCL3LAOnNrBRVA-zPEw,107.8,0.0538,0.603
UC4DaFLa7fJznLZ72eDHqSRA,Influencer Marketing,,0,3,4378,UU4DaFLa7fJznLZ72eDHqSRA,1459.33,0.0005,0.588
UChHGMmxhGK553vLEJbBVn4w,Influencer Marketing,"
Welcome to the Influencer Marketing YouTube Channel, your destination for inspiring life stories of Influencers/Celebrities!

This channel is your go-to for all the juicy details about your favorite celebrities!

Our channel is dedicated to sharing the captivating and inspiring stories of some of the biggest stars. From their humble beginnings to their meteoric rise to fame, we'll delve into every aspect of their lives, giving you a rare inside look into fame and fortune.

Our expert researchers and writers relentlessly search the internet to collect all the most fascinating details about celebrities you care about. Come along on this unforgettable journey through the lives of celebrities, uncovering their struggles, successes, and scandals that rocked their worlds.

If you're a fan of celebrity culture, subscribe to our channel today and come along on an exciting journey through the captivating world of celebrity life!


",1,1,18,UUhHGMmxhGK553vLEJbBVn4w,18.0,0.0556,0.563
UCH_Vl8-_NWIrZ8aq1cTMaWg,The Influencer Marketing Factory,"The Influencer Marketing Factory is a global influencer marketing agency that helps brands and companies engage with Gen Z and Millennials on TikTok, Instagram and YouTube.",811,676,120548,UUH_Vl8-_NWIrZ8aq1cTMaWg,120.3,0.0075,0.528
UCEHbE3imIH-BC1NX14PQMpw,Afluencer,"Meet Micro-Influencers and Creators here!

New partners will create user-generated content (UGC) for you and also post it on their social media channels. Install our app for your Brand profile. Next, post a ""Collab"" in our app to field interest from our Influencer users who ""Match"" your desired criteria. Then review each applicant's content/engagement metrics (which we provide). When you ""Accept"" we set you up with a ""Message"" channel with your new Influencer to coordinate your Collab!
- Meet verified Micro-Influencers and Creators here (with real followers!)
- Post your ""Collab"" (campaign) to meet Influencers who match your criteria.
- Accept the Influencers you like and Direct Message (DM) them to partner up.
- Influencers create and post on Instagram, TikTok, YouTube, Twitter and Facebook.
- Promote an affiliate program, too! Commission-only deals for ""nano-influencers.""
",641,341,58422,UUEHbE3imIH-BC1NX14PQMpw,420.3,0.0031,0.52
UCxIiTYCHjiyQT6WNr9lZBng,Micka on Influence,"Welcome to Micka on Influence—your go-to podcast for bold conversations and impactful insights into influencer marketing, content creation and the Creator Economy. Hosted by charismatic radio personality Micka Alexander, each episode offers real talk, actionable advice and inspiring stories from industry leaders and top creators. Tune in and join a community obsessed with mastering the art and science of influence.",134,95,7640,UUxIiTYCHjiyQT6WNr9lZBng,381.3,0.0286,0.505
UCwIoLvgPXLhfcQ0DCqJLt5g,Sea of Influencers,"Sea of Influencers is the ultimate solution for agencies and brands looking to navigate the influencer marketing landscape confidently and effectively. Our platform provides verified performance data and insights, fraud prevention, and easy-to-use tools that help brands and agencies make data-driven decisions, increase ROI, and save time and resources.
",16,37,3463,UUwIoLvgPXLhfcQ0DCqJLt5g,133.5,0.0442,0.503
UCOUcfms-awflbLnhiI6TyrQ,Influencer Marketing,"Affiliate Marketing für Stars, Musiker, Schauspieler, Models, Influencer und Publisher.
Wir sind der offizielle Vertriebspartner von CelebU – der App für Stars.",2,2,2191,UUOUcfms-awflbLnhiI6TyrQ,1095.5,0.0037,0.476
UCczaddwBZJIb8Yu9Dw3_YBw,Insta Guru (Influencer Marketing),"THE INSTAGURU CUSTOM VIDEO STRATEGY WILL TAKE YOU TO NEW LEVELS OF PERSONAL WEALTH AND SUCCESS! 
Choose one of our high-quality videos developed by top social media influencers. The guru call to action video will contain social media user & website or landing page. 

Examples
Time / Family Lifestyle Video
https://youtu.be/rd7dHUBkZEw

Luxury Lifestyle Video
https://youtu.be/j5eF58WH4YY

Travel Lifestyle Video
https://youtu.be/j0a8MdP_9Ww",6,6,529,UUczaddwBZJIb8Yu9Dw3_YBw,88.17,0.0435,0.473
UCyEqOMcJ8XBMep6fG0E9KvQ,Influencer Hero,"Welcome to the Influencer Hero YouTube channel, your go-to hub for all things influencer marketing, D2C, and e-commerce.

Join us for an insight-packed journey where we break down what’s really driving brand growth today. 

From actionable educational videos to expert interviews with D2C founders, CMOs and Agencies, we cover the strategies, creative, and operational tactics that matter.

By providing the industry leading influencer marketing platform for clients such as Decathlon, Arsenal, TCL and Arabian Oud, we bring you a blend of influencer marketing know-how, performance-driven growth tips, and behind-the-scenes stories from top industry experts.

Need help with influencer marketing and social media strategies? Learn more below. 
",100,53,3410,UUyEqOMcJ8XBMep6fG0E9KvQ,24.5,0.0408,0.468
UCA0-8yfxE2dtgVywzBEtSxQ,Influsights- Influencer Marketing SaaS,,3,2,75,UUA0-8yfxE2dtgVywzBEtSxQ,37.5,0.04,0.417
UCVZFM0I8_fErqOPxUSdmnSw,"Ready, Set, Click!","Ready to dive deep into the dynamic world of Influencer Marketing? 💅🏼
Look no further! Welcome to your new go-to source for the latest insights, trends, and strategies in the ever-evolving world of digital creators! 🤳🏼
 
Each episode features an engaging and enlightening conversation between 2 industry insiders 👥 You'll get to hear from content creators who've made waves on social media and brand ambassadors who've mastered the art of influencer management. Together, they share their stories, experiences, and invaluable tips that can transform your influencer marketing game. 

",53,75,23159,UUVZFM0I8_fErqOPxUSdmnSw,685.6,0.0085,0.385
UCU1EHKLnA1fHX0aNJKo5CrQ,OHKO Influencer Marketing,,1,1,843,UUU1EHKLnA1fHX0aNJKo5CrQ,844.0,0.0047,0.385
UCyViT7ak4bt3Rvdzpm5C3nw,Influencer Marketing Guy,"Welcome to The Influencer Marketing Guy Youtube channel.

I'm Kristian Sturt - owner of one of the longest standing influencer marketing agencies in the UK, Colossal Influence. www.colossalinfluence.com 

Here to bring you social media tips, social media news, influencer marketing tips and everything in-between.

Make sure you subscribe for more!
",18,12,7182,UUyViT7ak4bt3Rvdzpm5C3nw,435.2,0.0195,0.378
UCHrAD4-x4jSMpIL4JDbnklA,Indian Influencer Governing Council,"The Indian Influencer Governing Council is the exclusive governing authority on influencer marketing in India. We foster a transparent, accountable, and thriving ecosystem that benefits all stakeholders, including creators, brands, platforms, and consumers.

Our Objectives
- Foster a transparent and accountable influencer marketing ecosystem
- Establish India as a hub for influencer marketing excellence
- Promote ethical and responsible influencer marketing practices
- Empower creators and brands to succeed in the industry
- Drive innovation and growth in influencer marketing

Join Our Community
Connect with us to stay updated on industry trends, best practices, and our initiatives. Together, let's shape the future of influencer marketing in India!

",28,14,2000,UUHrAD4-x4jSMpIL4JDbnklA,185.2,0.0286,0.374
UCV3u8QXVhayesEAeQ4FQrAQ,What They Said  - The Influencer Marketing Podcast,"Discover 'What They Said,' the Influencer Marketing Podcast by award-winning creative comms agency PrettyGreen. ​
Join us each week as our team delves deep into the creator economy, featuring guest content creators, savvy marketers, and industry experts who spill the latest influencer marketing secrets.”

The series will feature guests who are having an impact on the creator economy, lifting the lid on the in’s and outs of the industry.
",17,20,2198,UUV3u8QXVhayesEAeQ4FQrAQ,48.1,0.0312,0.34
UCsQZpxUPEKGu2a_uzzzXSUQ,InfluBase Influencer Agency,,2,19,363,UUsQZpxUPEKGu2a_uzzzXSUQ,15.0,0.0333,0.34
UCwUCmyAtOHkt5FBZAdFl9pg,MB Influencer Marketing Agency,,1,11,709,UUwUCmyAtOHkt5FBZAdFl9pg,15.5,0.0323,0.329
UCtaindaSp93VSX2TM_tWbIg,Traackr: Data-Driven Influencer Marketing ,"Traackr is the system of record for data-driven influencer marketing, providing the intelligence and tools needed to run impactful influencer marketing programs. Our platform enables marketers to invest in the right strategies, streamline campaigns, and scale global programs.

We are honored to power the most advanced and largest scale influencer marketing programs in the world for brands who are leading the way, including L'Oréal, Shiseido, Revlon, Charlotte Tilbury, Colgate-Palmolive, and Samsung.
Our company was born global and thrives on collaboration. You can find us in San Francisco, New York, Boston, London, Paris, and Singapore.

Visit www.traackr.com to learn more.
",279,94,27154,UUtaindaSp93VSX2TM_tWbIg,117.7,0.0119,0.306
UC8PdZRyqjWzGt6PiryHTmXg,PUBLICFAST - influencer marketing platform,"We are a self-serve platform that operates with the help of AI. 
The simple solution where brands need to set up a campaign and KPI, and we will take care of everything else. Our AI technology will match brands with the right influencers that will achieve the goals, and within the campaign, you can see the real-time results of the project.",54,17,13752,UU8PdZRyqjWzGt6PiryHTmXg,293.3,0.016,0.305
UCLf_hMj1ereN7nu8YOU4BQQ,Kroma Agency,Agenzia di Influencer Marketing,19,15,295,UULf_hMj1ereN7nu8YOU4BQQ,14.1,0.0284,0.299
UCJ6t-vZEL0GTSYauPEvshTw,Women in Influencer Marketing,"WIIM is an exclusive networking group for women who have made a name for themselves in the world of influencer marketing. Our goal is to network with like-minded women, share information to make our work stronger, and unite a community of leaders within this exciting industry.",389,324,42768,UUJ6t-vZEL0GTSYauPEvshTw,77.1,0.0065,0.29
UC2YRAtqnPEMG1eJkVd6JJfg,Lever | Your Web3 KOL Marketplace,"Welcome to Lever.io – Your Hub for Web3 Influencer Marketing

Dive into the world of crypto influencer marketing with Lever.io, the leading platform connecting brands with top influencers and KOLs (Key Opinion Leaders). Our channel is dedicated to helping you navigate and excel in the fast-evolving landscape of blockchain, crypto, and influencer marketing.

What You’ll Find Here:

- Expert tips and strategies for maximizing your marketing ROI
- Success stories and case studies featuring top campaigns
- Tutorials on leveraging Lever.io to streamline influencer collaborations
- Insights from industry leaders and marketing professionals

If you're a Web3 brand looking to launch impactful campaigns, Lever.io is here to guide you every step of the way. 
",10,13,1533,UU2YRAtqnPEMG1eJkVd6JJfg,144.6,0.0221,0.284
UCKm2Xjar4lvC7GNW1ZhPlLg,Hr Influencer Marketing Agency ,,549,0,0,UUKm2Xjar4lvC7GNW1ZhPlLg,0.0,0.0,0.275
UCj5LKyzWpYXMEBalNX_MN2g,Matchmade,"Matchmade is the leading influencer marketing platform for games and reaching gamer audiences. By analyzing more than 9.2M YouTube channels, we find the best creators for your needs and our network of 15,000+ content creators delivers more than 5 billion views every month. 

Our automated approach allows you to save time on tedious manual tasks and instead focus on essentials like strategy by automating the entire influencer marketing workflow – from finding and negotiating with creators all way to content enforcement and payments. 

Transform your influencer marketing from manual one-off collaborations into a scalable and automated user acquisition and brand growth channel with us!

For more information, visit https://matchmade.tv/.",69,11,2660,UUj5LKyzWpYXMEBalNX_MN2g,171.4,0.0123,0.226
UCdhHgwRuQ5OCHWoT8D2cBlg,Influencer Marketing,,3,1,441,UUdhHgwRuQ5OCHWoT8D2cBlg,441.0,0.0045,0.223
UCjVUNp-5bB7OP1kuQpCyjDQ,Influencee,Influencee is an influencer marketing agency with a focus on micro-influencers.,10,12,2143,UUjVUNp-5bB7OP1kuQpCyjDQ,201.3,0.0109,0.195
UC-uTWSyyZ8SpwzZRbjwjAFQ,Hypetrain,"Your best friend in Influencer Marketing.

Hypetrain — a full-cycle platform designed to help any-size agencies, brands, media companies and freelancers execute and manage their influencer marketing campaigns. We work hard to make influencer marketing more transparent, predictable and fun using big data analytics and our AI algorithms.

Here you can find educational and onboarding videos. 
",35,24,1738,UU-uTWSyyZ8SpwzZRbjwjAFQ,52.7,0.0152,0.19
UCSgjNz6FwkdZY2mM6B9knKA,Socialfaim - Data Driven Influencer Marketing,"We are an Influencer marketing platform powered by our own technology to assist you maximize the effect of your branding activities. We are here to give freedom to your marketing campaigns!

https://socialfaim.com

* Simplify your audience analysis by consolidating omnichannel data in one place
* Leverage AI to create customer personas in an instant based on your actual data
* Analyze what content sparks engagement across social platforms
* Uncover what your audiences really find engaging to personalize your strategy
*  Measure and manage social media accounts smarter
* Monitor and listen to conversations around your brand",77,1,86,UUSgjNz6FwkdZY2mM6B9knKA,86.0,0.0116,0.189
UC5hiyF7Gm0pVMT2ZjHwNWHg,hell0,"The most affordable social media marketing agency 

We've worked with 53 brands, 67 influencers, & 13 night pubs, achieved 120k sub & 70M+ views. We specialize in affordable - shoot & content production, organic & influencer marketing.

DM us or Visit our website 
",3,20,1949,UU5hiyF7Gm0pVMT2ZjHwNWHg,136.5,0.0125,0.181
UCE7PWhoglpaGV8I-iIiLf3Q,TAIM - The Art of Influencer Marketing,"Learn,connect,succeed! 🌍
Whether you're a student, professional, entrepreneur, or starting your own agency, The Art of Influencer Marketing course gives you the skills needed to succeed. Learn to identify influencers, negotiate contracts, and tackle ethics, with real-world insights to build connections and achieve results for your brand in the digital age.

#influencermarketing #digitalmarketing #socialmediamarketing 
",15,13,1701,UUE7PWhoglpaGV8I-iIiLf3Q,138.4,0.0094,0.157
